si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
ina 	  ina 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kumurot 	  kurot 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
huwag 	  huwag 	  _ 	  _ 	  _ 	  _ 	ADVERB
magsalita 	  salita 	  mag 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
anumang 	  anumang 	  _ 	  _ 	  _ 	  _ 	CONJ
makapipinsala 	  pinsala 	  maka 	  _ 	  _ 	  pi 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanila 	  kanila 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

pagkaraan 	  daan 	  pagka 	  _ 	  _ 	  _ 	ADVERB
noon 	  noon 	  _ 	  _ 	  _ 	  _ 	ADVERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
matandang 	  tanda 	  ma 	  _ 	  ng 	  _ 	ADJ
lalaki 	  lalaki 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
galing 	  galing 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
nayon 	  nayon 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tumuktok 	  tuktok 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pinto 	  pinto 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kumbento 	  kumbento 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
tinatamiran 	  tamir 	  _ 	  in 	  an 	  ta 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
sacristan 	  sacristan 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
matanda 	  tanda 	  ma 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
sumisigaw 	  sigaw 	  _ 	  um 	  _ 	  si 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
iniuumpog 	  umpog 	  ini 	  _ 	  _ 	  u 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ulo 	  ulo 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nagtutungayaw 	  tungayaw 	  nag 	  _ 	  _ 	  tu 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
tulad 	  tulad 	  _ 	  _ 	  _ 	  _ 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
pipi 	  pipi 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
hanggang 	  hanggang 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ipagtabuyan 	  taboy 	  ipag 	  _ 	  an 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pamamagitan 	  pamamagitan 	  _ 	  _ 	  _ 	  _ 	SCONJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
palo 	  palo 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
gayon 	  gayon 	  _ 	  _ 	  _ 	  _ 	CONJ
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nagpunta 	  punta 	  nag 	  _ 	  _ 	  _ 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
bahay 	  bahay 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
gubernadorsilyo 	  gubernadorsilyo 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
wala 	  wala 	  _ 	  _ 	  _ 	  _ 	ADVERB
raw 	  raw 	  _ 	  _ 	  _ 	  _ 	PART
at 	at 	_ 	_ 	_ 	_ 	CONJ
nasa 	  nasa 	  _ 	  _ 	  _ 	  _ 	CONJ
kumbento 	  kumbento 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
nagtuloy 	  tuloy 	  nag 	  _ 	  _ 	  _ 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
hukom 	  hukom 	  _ 	  _ 	  _ 	  _ 	PROPN
pamayapa 	  payapa 	  _ 	  am 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
wala 	  wala 	  _ 	  _ 	  _ 	  _ 	ADVERB
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
daw 	  daw 	  _ 	  _ 	  _ 	  _ 	PART
at 	at 	_ 	_ 	_ 	_ 	CONJ
nasa 	  nasa 	  _ 	  _ 	  _ 	  _ 	CONJ
kumbento 	  kumbento 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
nagtuloy 	  tuloy 	  nag 	  _ 	  _ 	  _ 	VERB
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tinyente 	  tinyente 	  _ 	  _ 	  _ 	  _ 	NOUN
mayor 	  mayor 	  _ 	  _ 	  _ 	  _ 	NOUN
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
nasa 	  nasa 	  _ 	  _ 	  _ 	  _ 	CONJ
kumbento 	  kumbento 	  _ 	  _ 	  _ 	  _ 	NOUN
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	CONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pobreng 	  pobre 	  _ 	  _ 	  ng 	  _ 	ADJ
matanda 	  tanda 	  ma 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nagbalik 	  balik 	  nag 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
nayong 	  nayon 	  _ 	  _ 	  g 	  _ 	NOUN
ngumunguyngoy 	  ngunguyngoy 	  _ 	  um 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
tila 	  tila 	  _ 	  _ 	  _ 	  _ 	ADVERB
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
bata 	  bata 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
oh 	  oh 	  _ 	  _ 	  _ 	  _ 	INTJ
diyos 	  diyos 	  _ 	  _ 	  _ 	  _ 	PROPN
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
dasal 	  dasal 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
babaing 	  baing 	  _ 	  _ 	  _ 	  ba 	NOUN
namamayat 	  payat 	  na 	  _ 	  _ 	  ma 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pag-aayuno 	  ayuno 	  pag 	  _ 	  _ 	  a 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
harap 	  harap 	  _ 	  _ 	  _ 	  _ 	NOUN
mo 	  mo 	  _ 	  _ 	  _ 	  _ 	PRON
po 	  po 	  _ 	  _ 	  _ 	  _ 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
mayaman 	  yaman 	  ma 	  _ 	  _ 	  _ 	ADJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
mahirap 	  hirap 	  ma 	  _ 	  _ 	  _ 	ADJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
maputi 	  puti 	  ma 	  _ 	  _ 	  _ 	ADJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
maitim 	  itim 	  ma 	  _ 	  _ 	  _ 	ADJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ikaw 	  ikaw 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
hahatol 	  hatol 	  _ 	  _ 	  _ 	  ha 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
amin 	  amin 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
oo 	  oo 	  _ 	  _ 	  _ 	  _ 	ADVERB
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
dugtong 	  dugtong 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
asawa 	  asawa 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
diyos 	  diyos 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kanilang 	  kanilang 	  _ 	  _ 	  _ 	  _ 	DET
sinasabing 	  sabi 	  _ 	  in 	  ng 	  sa 	VERB
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
huwad 	  huwad 	  _ 	  _ 	  _ 	  _ 	ADJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
gawa-gawa 	  gawa-gawa 	  _ 	  _ 	  _ 	  _ 	NOUN
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sila 	  sila 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
una-unang 	  una-una 	  _ 	  _ 	  ng 	  _ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
naniniwala 	  tiwala 	  na 	  _ 	  _ 	  ti 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanya 	  kanya 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
ikawalo 	  walo 	  ika 	  _ 	  _ 	  _ 	ADVERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
gabi 	  gabi 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nabalitang 	  balita 	  na 	  _ 	  ng 	  _ 	VERB
mahigit 	  higit 	  ma 	  _ 	  _ 	  _ 	ADJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pitong 	  pito 	  _ 	  _ 	  ng 	  _ 	ADJ
prayle 	  prayle 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
galing 	  galing 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kalapit-bayan 	  kalapit-bayan 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
nangasa 	  kasa 	  nang 	  _ 	  _ 	  _ 	NOUN
kumbento 	  kumbento 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nangag-uusap 	  usap 	  nangag 	  _ 	  _ 	  u 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kinabukasan 	  bukas 	  kina 	  _ 	  an 	  _ 	ADVERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tandang 	  tandang 	  _ 	  _ 	  _ 	  _ 	PROPN
selo 	  selo 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
tuluyan 	  tuloy 	  _ 	  _ 	  an 	  _ 	ADVERB
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	CONJ
nawala 	wala 	na 	_ 	_ 	_ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
nayon 	  nayon 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
dala 	  dala 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
sibat 	  sibat 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pangangaso 	  aso 	  panganga 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pahayagan 	  hayag 	  pa 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
maynila 	  maynila 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
abalang-abala 	  abalang-abala 	  _ 	  _ 	  _ 	  _ 	ADJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagbabalita 	  balita 	  pag 	  _ 	  _ 	  ba 	NOUN
ukol 	  ukol 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
nahayag 	  hayag 	  na 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
patayang 	  patay 	  _ 	  _ 	  ang 	  _ 	NOUN
naganap 	  ganap 	  na 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
europa 	  europa 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ukol 	  ukol 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagbibigay 	  bigay 	  pag 	  _ 	  _ 	  bi 	NOUN
karangalan 	  dangal 	  ka 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
predikador 	  predikador 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
maynila 	  maynila 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ukol 	  ukol 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
palaki 	  laki 	  pa 	  _ 	  _ 	  _ 	ADVERB
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
palaking 	  laki 	  pa 	  _ 	  ng 	  _ 	ADVERB
operetang 	  operetang 	  _ 	  _ 	  _ 	  _ 	NOUN
pranses 	  pranses 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
halos 	  halos 	  _ 	  _ 	  _ 	  _ 	ADJ
mapag-ukulan 	  ukol 	  mapag 	  _ 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lathala 	  lathala 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
katampalasanang 	  tampalasan 	  ka 	  _ 	  ang 	  _ 	NOUN
ginagawa 	  gawa 	  _ 	  in 	  _ 	  ga 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
pangkat 	  pangkat 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
tulisang 	  tulisan 	  _ 	  _ 	  g 	  _ 	NOUN
pinamumunuan 	  pamumuno 	  _ 	  in 	  an 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
matanglawin 	  matanglawin 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lalawigan 	  lawig 	  _ 	  _ 	  an 	  la 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
maliban 	  maliban 	  _ 	  _ 	  _ 	  _ 	SCONJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
nilolooban 	  loob 	  ni 	  _ 	  an 	  lo 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
kastila 	  kastila 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
gayo 	  gayo 	  _ 	  _ 	  _ 	  _ 	CONJ
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
lalabas 	  labas 	  _ 	  _ 	  _ 	  la 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
naghahabaang 	  haba 	  nag 	  _ 	  ang 	  ha 	VERB
lathala 	  lathala 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nagbabalita 	  balita 	  nag 	  _ 	  _ 	  ba 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kakila-kilabot 	  kila-kilabot 	  ka 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pangyayari 	  yari 	  pang 	  _ 	  _ 	  ya 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
humihingi 	  hingi 	  _ 	  um 	  _ 	  hi 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pagpaparusa 	  parusa 	  pag 	  _ 	  _ 	  pa 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
iba 	  iba 	  _ 	  _ 	  _ 	  _ 	CONJ
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
naganap 	  ganap 	  na 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tiyani 	  tiyani 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
nabanggit 	  banggit 	  na 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lathala 	  lathala 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
bagamat 	  bagamat 	  _ 	  _ 	  _ 	  _ 	SCONJ
nagkaroon 	  roon 	  nagka 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bahagyang 	  bahagya 	  _ 	  _ 	  ng 	  _ 	ADJ
bulung-bulungan 	  bulung-bulong 	  _ 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tanging 	  tangi 	  _ 	  _ 	  ng 	  _ 	ADJ
lipunan 	  lipunan 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
wala 	  wala 	  _ 	  _ 	  _ 	  _ 	ADVERB
namang 	  namang 	  _ 	  _ 	  _ 	  _ 	PART
kawawaan 	  kawawaan 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ilan 	  ilan 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
naniwalang 	  naniwala 	  _ 	  _ 	  ng 	  _ 	VERB
nagkaroon 	  roon 	  nagka 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pakikipag-ayos 	  ayos 	  pakikipag 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kamag-anak 	  mag-anak 	  ka 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
nasaktan 	  sakit 	  na 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tanging 	  tangi 	  _ 	  _ 	  ng 	  _ 	ADJ
natiyak 	  tiyak 	  na 	  _ 	  _ 	  _ 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pag-alis 	  alis 	  pag 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
tiyani 	  tiyani 	  _ 	  _ 	  _ 	  _ 	PROPN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
camorra 	  camorra 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
o 	o 	_ 	_ 	_ 	_ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pamamalagi 	  lagi 	  pamama 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
panahon 	  panahon 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kumbento 	  kumbento 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
maynila 	  maynila 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kinahabagan 	  habag 	  kina 	  _ 	  an 	  _ 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
tuloy 	  tuloy 	  _ 	  _ 	  _ 	  _ 	PART
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
ben 	  ben 	  _ 	  _ 	  _ 	  _ 	PROPN
zayb 	  zayb 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
handang 	  handang 	  _ 	  _ 	  _ 	  _ 	ADVERB
paggugol 	  gugol 	  pag 	  _ 	  _ 	  _ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
handog 	  handog 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
